,overall_score,style_score,city,land,country,beer_type,abv,brewery,beer_name,calories,average_rating,review_average,weighted_average,description,served_in
6147,90,71.0,Wrocław,Lower Silesian,Poland,IPA - Hazy / New England (NEIPA),6.5%,Browar Stu Mostów,Stu Mostów One and Only New England IPA All Citra,195 cal per 355ml,3.81,3.81,3.58,"„One and Only” to nasza pierwsza single hop IPA, przy pomocy której prezentujemy Wam pełnię możliwości naszej ulubionej odmiany Citra. Aby jak najlepiej oddać jego aromat w gotowym produkcie użyliśmy aż 5 różnych produktów chmielowych dostarczonych nam przez ekipę Simply Hops:…",Shaker
6148,89,84.0,Wrocław,Lower Silesian,Poland,IPA - Flavored,6.3%,Browar Stu Mostów,Stu Mostów Salamander Grapefruit and Mandarin DDH DIPA,189 cal per 355ml,3.67,3.64,3.56,"Double Dry Hopped DIPA, czyli styl wyjątkowo modny w ostatnim czasie. To dość nowatorskie podejście do stylu DIPA – a więc nieco słodsze, nie aż tak mocne, z bardzo intensywnym nastawieniem na aromat chmielowy, ale już nie koniecznie na goryczkę. Dodatkowo piwo ma być zamglone, aby podkreślić jego upodobnienie do soków owocowych, oraz przypomnieć, że tego typu piwo należy pić supe…",
6149,89,55.0,Wrocław,Lower Silesian,Poland,IIPA DIPA - Imperial / Double IPA,8.9%,Browar Stu Mostów,Stu Mostów ART5 / Pizza Boy Imperial Apricot IPA,267 cal per 355ml,3.63,3.58,3.55,Collaboration brew with Pizza Boy Brewing,Shaker
6150,89,41.0,Wrocław,Lower Silesian,Poland,IIPA DIPA - Imperial / Double Hazy (NEIPA),8.0%,Browar Stu Mostów,Stu Mostów ART61 / Hopito NEIPA,240 cal per 355ml,3.90,3.80,3.58,Jest to pomarańczowa Hazy IPA z dodatkiem płatków owsianych oraz słodu ciasteczkowego. Poprzez mieszankę chmieli HBC 630 w formie Cryo oraz Peletu t 90 Straty i Galaxy osiągnęliśmy owocowy aromat. W efekcie uzyskaliśmy genialną pijalność dzięki niskiej goryczce i dużej kontrze owocowej.,
6151,89,89.0,Wrocław,Lower Silesian,Poland,IPA,6.5%,Browar Stu Mostów,Stu Mostów Salamander West Coast IPA Citra Mosaic Cascade,195 cal per 355ml,3.78,3.74,3.56,"Poznajcie kolejną już naszą interpretację klasyki nowofalowego piwowarstwa – American IPA z zachodniego wybrzeża (West Coast). Uwarzona z imponującą ilością nowofalowych chmieli amerykańskich – wytrawna, chmielowa, pijalna i o czystym profilu. Nuty grejpfruta, kandyzowanej pomarańczy, sosny i owoców pestkowych świetnie współgrają z akcentami goryczkowymi i delikatną…",Shaker
6152,89,94.0,Wrocław,Lower Silesian,Poland,Pale Ale - Hazy / New England,4.5%,Browar Stu Mostów,Stu Mostów Salamander New England Pale Ale Citra & Comet,135 cal per 355ml,3.73,3.69,3.56,"BLG 12.5. To kolejna już nasza odsłona stylu Pale Ale w niezwykle soczystej i mglistej wersji New England. Niezwykle rześka, soczysta i intensywna w smaku – wszystko za sprawą użytych w procesie produkcyjnym chmieli: Citra i Comet, które nadały piwu unikalnego, owocowego charakteru!",
6153,89,23.0,Wrocław,Lower Silesian,Poland,Stout - Imperial Flavored / Pastry,10.0%,Browar Stu Mostów,"Stu Mostów WRCLW Pastry Imperial Stout with Cocoa Nibs, Cookies & White Chocolate",300 cal per 355ml,3.82,3.82,3.56,"BLG 35. Słodka aranżacja najsilniejszego i najgęstszego piwa w naszej ofercie, uwarzonego z udziałem najciemniejszych, prażonych słodów – czarnego i nieprzejrzystego – Imperial Pastry Stout wzbogaconego dodatkiem ziaren kakao, białej czekolady oraz ciasteczek maślanych!",
6154,89,87.0,Wrocław,Lower Silesian,Poland,IPA - Milkshake / Smoothie,5.9%,Browar Stu Mostów,Stu Mostów Salamander Strawberry Milkshake IPA,177 cal per 355ml,3.66,3.59,3.57,"Niczym w milkshake’u połączyliśmy ze sobą intensywnie chmieloną (w szczególności na zimno) american ipa, z płatkami owsianymi, przecierem truskawkowym, aromatyczną wanilią i słodką laktozą.",
6155,88,50.0,Wrocław,Lower Silesian,Poland,Sour / Wild Beer - Flavored,8.0%,Browar Stu Mostów,Stu Mostów King Nothing,240 cal per 355ml,3.85,3.80,3.56,"Stu Mostow King Nothing | Double Chocolate Triple Fruited Imperial Pastry Sour
Ein süß-saures Dessert aus Brombeeren, Waldbeeren, Marillen, Bananen und aromatischen Kakaobohnen. Speziell für das von Stu Mostow veranstaltete Beer Geek Madness 2022 Space Race Festival gebrautes Bier. Dicht und voll. Perfekt für die Raumfahrt.",
6156,88,86.0,Wrocław,Lower Silesian,Poland,IPA - Milkshake / Smoothie,6.0%,Browar Stu Mostów,Stu Mostów Salamander Bilberry Milkshake IPA,180 cal per 355ml,3.66,3.61,3.56,"Milkshake IPA jest stylem bardzo nowoczesnym, można wręcz powiedzieć, że to tegoroczny trend! Połączenie owoców, laktozy i goryczkowej AIPA to coś wcześniej niespotykanego, ale niesłychanie smacznego!",
6157,88,23.0,Wrocław,Lower Silesian,Poland,Stout - Imperial Flavored / Pastry,9.0%,Browar Stu Mostów,Stu Mostów WRCLW Orange Rye RIS,270 cal per 355ml,3.68,3.64,3.55,23 BLG.,
6158,87,50.0,Wrocław,Lower Silesian,Poland,Sour / Wild Beer - Flavored,6.8%,Browar Stu Mostów,Stu Mostów WILD #13 Bière de Soif refermented with Red Regent and Rondo grapes Blend 2021,204 cal per 355ml,3.81,3.79,3.55,BLG 12.,
6159,87,73.0,Wrocław,Lower Silesian,Poland,IPA - Black / Brown / Cascadian Dark,6.5%,Browar Stu Mostów,Stu Mostów Black IPA,195 cal per 355ml,3.71,3.72,3.55,,Shaker
6160,87,90.0,Wrocław,Lower Silesian,Poland,IPA - Brut,6.3%,Browar Stu Mostów,Stu Mostów Salamander Brut IPA,189 cal per 355ml,3.65,3.60,3.52,Brut IPA - 12.7 Blg…,
6161,90,97.0,Świdnica,Lower Silesian,Poland,Traditional Ale - Other,9.0%,Browar Swidnica,Swidnica Jopejskie,270 cal per 355ml,3.93,3.86,3.58,Jopenbier 50° Plato,Dimpled mug
6162,51,35.0,Świdnica,Lower Silesian,Poland,IPA,7.5%,Browar Swidnica,Świdnica Daisy,225 cal per 355ml,3.09,3.38,3.24,16 blg…,Shaker
6163,45,4.0,Świdnica,Lower Silesian,Poland,Stout - Imperial,10.0%,Browar Swidnica,Świdnica Raven,300 cal per 355ml,2.97,3.21,3.14,RIS Whisky Barrel Agged - 22 Blg.…,Snifter
6164,41,71.0,Świdnica,Lower Silesian,Poland,Pilsener - Bohemian / Czech,5.0%,Browar Swidnica,Świdnica Pilsner Świdnicki,150 cal per 355ml,2.92,3.21,3.13,"Piwo dolnej fermentacji, najberdziej zbliżone do pilsnera bohemskiego. Zdecydowana szlachetna goryczka, silny aromat chmielu oraz wysokie odfermentowanie czyni to piwo jednym z bardziej pijalnych.…",Dimpled mug
6237,100,100.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,11.0%,Browar Widawa,Widawa 5th Anniversary Imperial Baltic Porter Bourbon BA,330 cal per 355ml,4.19,4.13,4.09,Imperial Baltic Porter Bourbon Barrel Aged - 27.5 Blg,English pint
6238,100,100.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,11.0%,Browar Widawa,Widawa 5th Anniversary Imperial Smoked Baltic Porter Bourbon BA,330 cal per 355ml,4.16,4.14,4.05,Imperial Smoked Baltic Porter Bourbon Barrel Aged - 27.5 Blg,English pint
6239,100,100.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,11.5%,Browar Widawa,Widawa 5th Anniversary Imperial Smoked Baltic Porter Jamaican Rum BA,345 cal per 355ml,4.16,4.12,4.05,Imperial Smoked Baltic Porter Jamaican Rum Barrel Aged - 27.5 Blg,English pint
6240,100,99.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,10.5%,Browar Widawa,Widawa 8th Anniversary Imperial Smoked Baltic Porter,315 cal per 355ml,4.09,4.08,3.99,,English pint
6241,100,99.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,10.5%,Browar Widawa,Widawa Porter Bałtycki Wędzony 24° Bourbon BA,315 cal per 355ml,4.06,4.02,3.99,Smoked Baltic Porter Bourbon Barrel Aged - 24 BLG,English pint
6242,99,99.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,10.5%,Browar Widawa,Widawa Porter Bałtycki Wędzony 24°,315 cal per 355ml,4.02,3.98,3.96,Smoked Baltic Porter 24°…,English pint
6243,99,98.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,10.5%,Browar Widawa,Widawa 8th Anniversary Imperial Baltic Porter Double BA Bourbon & Rum,315 cal per 355ml,4.26,4.22,3.91,Widawa 8th Anniversary Imperial Baltic Porter Double BA Bourbon & Rum,English pint
6244,99,98.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,9.0%,Browar Widawa,Widawa 9th Anniversary Imperialny Porter Bałtycki,270 cal per 355ml,4.06,4.06,3.91,WIDAWA - 9th Anniversary Imperialny Porter Bałtycki,English pint
6245,99,97.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,10.5%,Browar Widawa,Widawa 8th Anniversary Imperial Smoked Baltic Porter Double BA Bourbon & Rum,315 cal per 355ml,4.20,4.19,3.89,Widawa 8th Anniversary Imperial Smoked Baltic Porter Double BA Bourbon & Rum,English pint
6246,98,96.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,11.0%,Browar Widawa,Widawa 5th Anniversary Baltic Porter,330 cal per 355ml,4.01,4.02,3.83,Baltic Porter 27.5 Blg,English pint
6247,98,96.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,11.0%,Browar Widawa,Widawa 5th Anniversary Imperial Baltic Porter Bourbon BA Single Barrel,330 cal per 355ml,3.97,3.99,3.82,"Imperialny Porter Bałtycki. Leżakowany w beczce po burbonie. 
Spośród wszystkich beczek z porterem jedna była naprawdę wyjątkowa, postanowiliśmy więc, że nie będziemy jej blendować z innymi…",English pint
6248,98,94.0,Chrząstawa Mała,Lower Silesian,Poland,Barley Wine / Wheat Wine / Rye Wine,11.0%,Browar Widawa,Widawa Pogromca,330 cal per 355ml,3.94,3.89,3.82,Barley Wine Double Barrel Aged - Bourbon + Rum - 27.5 Blg,Snifter
6249,98,94.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,9.5%,Browar Widawa,Widawa 10th Anniversary Imperial Baltic Porter Bourbon BA,285 cal per 355ml,4.05,4.03,3.81,,English pint
6250,98,99.0,Chrząstawa Mała,Lower Silesian,Poland,IPA,6.2%,Browar Widawa,Widawa X BA Nitro IPA,186 cal per 355ml,3.98,3.87,3.79,Aged in Jack Daniel’s barrels,Shaker
6251,97,100.0,Chrząstawa Mała,Lower Silesian,Poland,ISA - Session IPA,4.9%,Browar Widawa,Kopyra & Widawa Shark,147 cal per 355ml,3.84,3.77,3.76,,English pint
6252,97,91.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,11.0%,Browar Widawa,Widawa Porter Bałtycki Wędzony 24° Sherry BA,330 cal per 355ml,3.74,3.79,3.74,24 BLG Baltic Smoked Porter Sherry Barrel Aged,English pint
6253,97,90.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,7.5%,Browar Widawa,Widawa Porter Bałtycki Wędzony 19°,225 cal per 355ml,3.87,3.79,3.75,Smoked Baltic Porter. 19°.,English pint
6254,97,90.0,Chrząstawa Mała,Lower Silesian,Poland,Sour / Wild Beer,7.2%,Browar Widawa,Widawa Wild Black Kiss,216 cal per 355ml,3.85,3.80,3.73,Tennessee Whiskey Barrel Aged Sour Extra Stout,Snifter
6255,97,97.0,Chrząstawa Mała,Lower Silesian,Poland,IPA,6.5%,Browar Widawa,Kopyra & Widawa Kuguar,195 cal per 355ml,3.89,3.78,3.71,American IPA.,Shaker
6256,97,89.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,9.5%,Browar Widawa,Widawa 9th Anniversary Imperialny Porter Bałtycki Bourbon & Rum BA,285 cal per 355ml,3.98,3.98,3.75,Kraft Roku 2021,English pint
6257,97,90.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,11.0%,Browar Widawa,Widawa 7th Anniversary Imperial Baltic Porter,330 cal per 355ml,3.96,3.91,3.74,BLG 27.5,English pint
6258,97,71.0,Chrząstawa Mała,Lower Silesian,Poland,Stout - Imperial,15.0%,Browar Widawa,Widawa fRISss freak!,450 cal per 355ml,4.09,4.03,3.73,Tropical Barrel Aged Ice Imperial Stout - 24 Blg,Snifter
6259,97,64.0,Chrząstawa Mała,Lower Silesian,Poland,Stout - Imperial,11.0%,Browar Widawa,Widawa Imperial Black Kiss Sherry BA,330 cal per 355ml,3.80,3.86,3.72,24°Blg – 11%,Snifter
6260,96,89.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,11.5%,Browar Widawa,Widawa 7th Anniversary Imperial Baltic Porter Bourbon Barrel Aged,345 cal per 355ml,3.82,3.82,3.73,,English pint
6261,96,89.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,11.5%,Browar Widawa,Widawa 5th Anniversary Imperial Smoked Baltic Porter,345 cal per 355ml,3.85,3.80,3.72,Imperial Smoked Baltic Porter 27.5 BLG,English pint
6262,96,100.0,Chrząstawa Mała,Lower Silesian,Poland,Stout - Dry / Irish,4.7%,Browar Widawa,Kopyra & Widawa Kruk,141 cal per 355ml,3.75,3.75,3.70,american dry stout (single hop - simcoe)…,English pint
6263,96,94.0,Chrząstawa Mała,Lower Silesian,Poland,IPA - Sour / Wild,6.2%,Browar Widawa,Widawa X West Brett IPA,186 cal per 355ml,3.81,3.74,3.71,"IPA fermentowane drożdżami brettanomyces, leżakowane w drewnianych beczkach.",
6264,95,95.0,Chrząstawa Mała,Lower Silesian,Poland,IPA,6.2%,Browar Widawa,Widawa West Coast IPA  Equinox Edition,186 cal per 355ml,3.76,3.73,3.65,"Non-filtered, non-pasteurized. 6.2 ABV, 16 Blg.",Shaker
6265,95,83.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,11.0%,Browar Widawa,Widawa 6th Anniversary Imperial Baltic Porter Jamaican Rum BA,330 cal per 355ml,3.97,3.79,3.70,27.5 Blg,English pint
6266,95,98.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Smoked,5.0%,Browar Widawa,Kopyra & Widawa Borsuk,150 cal per 355ml,3.69,3.73,3.66,"Smoked Porter. 
Ingredients: smoked malt, wheat malt, chocolate wheat malt, Caramunich, Chinook hops.…",
6267,95,97.0,Chrząstawa Mała,Lower Silesian,Poland,IPA,6.2%,Browar Widawa,Widawa Tropical Storm IPA,186 cal per 355ml,3.72,3.71,3.69,Tropical Strom IPA - 16 Blg…,Shaker
6268,95,93.0,Chrząstawa Mała,Lower Silesian,Poland,IPA,6.2%,Browar Widawa,Widawa The Spirit of Sonoma,186 cal per 355ml,3.73,3.73,3.64,The Spirit of Sonoma - Sauvignon Blanc Barrel Aged IPA - 16 Blg…,Shaker
6269,94,92.0,Chrząstawa Mała,Lower Silesian,Poland,IPA - Black / Brown / Cascadian Dark,7.2%,Browar Widawa,Widawa Black Hierophany,216 cal per 355ml,3.73,3.80,3.68,DDH Double BIPA,Shaker
6270,94,81.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,9.5%,Browar Widawa,Widawa Porter Bałtycki Wędzony 24° Brandy BA,285 cal per 355ml,3.70,3.68,3.64,Wędzony Porter Bałtycki tym razem leżakowany w beczce po hiszpańskiej brandy.,English pint
6271,94,82.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,7.5%,Browar Widawa,Widawa Tennessee Whiskey Barrel Aged Sour Smoked Baltic Porter,225 cal per 355ml,3.59,3.76,3.61,,English pint
6272,93,90.0,Chrząstawa Mała,Lower Silesian,Poland,IPA - Sour / Wild,6.2%,Browar Widawa,Widawa X Brett IPA Chardonnay BA,186 cal per 355ml,3.94,3.88,3.64,,
6273,93,72.0,Chrząstawa Mała,Lower Silesian,Poland,Sour / Wild Beer - Flavored,7.2%,Browar Widawa,Widawa / Dunham Le Polonais C’t’une Joke,216 cal per 355ml,3.79,3.75,3.64,"Piwo uwarzone specjalnie na Beer Geek Madness 7 - Rage (23 marca 2019, Wroclaw). ""Le polonais c’t’une joke"" - w slangu z Quebec znaczy tyle co jezyk polski to fraszka, ale tez jezyk polski to wariactwo do takich jakze odmiennych wniosków doszli Eloi i Dominic z Brasserie Dunham po intensywnym kursie jezyka polskiego podczas swojej ostatniej wizyty w naszym kraju. Taka tez nazwe…",
6274,93,99.0,Chrząstawa Mała,Lower Silesian,Poland,Stout - Dry / Irish,5.0%,Browar Widawa,Kopyra & Widawa Kawka Coffee Stout,150 cal per 355ml,3.62,3.76,3.62,"12,5°P coffee stout.",English pint
6275,93,46.0,Chrząstawa Mała,Lower Silesian,Poland,Stout - Imperial,8.2%,Browar Widawa,Widawa Imperial Wild Black Kiss Whisky BA,246 cal per 355ml,3.67,3.67,3.61,,Snifter
6276,92,65.0,Chrząstawa Mała,Lower Silesian,Poland,IIPA DIPA - Imperial / Double IPA,9.2%,Browar Widawa,Widawa Popieprzona Kooperacja,276 cal per 355ml,3.76,3.74,3.59,"Kooperacyjne piwo Browaru Widawa z wrocławskim multitapem Szynkarnia oraz multitapem Piwna Stopa z Poznania. Triple IPA 22 P 9,2% z dodatkiem mango oraz czerwonego pieprzu.",Shaker
6277,91,96.0,Chrząstawa Mała,Lower Silesian,Poland,Grodziskie / Grätzer / Lichtenhainer,6.2%,Browar Widawa,Kopyra & Widawa Siwy Miś,186 cal per 355ml,3.70,3.70,3.59,"Siwy Miś (16 BLG), pieruńsko łokopcony - piwo wędzone, w stylu dubeltowe grodziskie. Niefiltrowane, niepasteryzowane.…",
6278,90,90.0,Chrząstawa Mała,Lower Silesian,Poland,IPA,6.2%,Browar Widawa,Widawa West Coast IPA,186 cal per 355ml,3.68,3.62,3.58,16 BLG,Shaker
6279,90,70.0,Chrząstawa Mała,Lower Silesian,Poland,IIPA DIPA - Imperial / Double IPA,7.2%,Browar Widawa,Widawa Double Trouble,216 cal per 355ml,3.61,3.62,3.58,Equinox & Enigma Double IPA - 18 Blg,Shaker
6280,90,66.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,12.5%,Browar Widawa,Widawa / La Quince Rage,375 cal per 355ml,3.66,3.64,3.58,Imperial Baltic Porter with African chili.,English pint
6281,87,89.0,Chrząstawa Mała,Lower Silesian,Poland,IPA,6.2%,Browar Widawa,Widawa California Über Alles!,186 cal per 355ml,3.62,3.68,3.55,West Coast IPA - 16 Blg,Shaker
6282,87,97.0,Chrząstawa Mała,Lower Silesian,Poland,Stout - Dry / Irish,5.0%,Browar Widawa,Widawa Liberty Stout,150 cal per 355ml,3.59,3.57,3.55,"Piwo ciemne, w stylu american dry stout, niefiltrowane, niepasteryzowane. 12,5 P.",English pint
6283,87,55.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Baltic,8.3%,Browar Widawa,Widawa Porter Bałtycki 20°,249 cal per 355ml,3.75,3.66,3.55,BLG 20.,English pint
6284,86,72.0,Chrząstawa Mała,Lower Silesian,Poland,IPA,6.5%,Browar Widawa,Kopyra & Widawa Albatros,195 cal per 355ml,3.54,3.64,3.46,Albatros - piwo górnej fermentacji w stylu White India Pale Ale - ekstrakt 16% wag.…,Shaker
6285,86,89.0,Chrząstawa Mała,Lower Silesian,Poland,Pale Lager - Hoppy / India (IPL),4.7%,Browar Widawa,Widawa Pan Nelson,141 cal per 355ml,3.61,3.60,3.51,Single Hop Nelson Sauvin - 11.6 Blg…,Dimpled mug
6286,85,75.0,Chrząstawa Mała,Lower Silesian,Poland,IPA,6.2%,Browar Widawa,Widawa X West Brett IPA Sauvignon Blanc BA,186 cal per 355ml,3.63,3.64,3.49,"IPA na brettach, leżakowane w beczce po Sauvignon Blanc.
16’ Blg",Shaker
6287,82,84.0,Chrząstawa Mała,Lower Silesian,Poland,ISA - Session IPA,4.8%,Browar Widawa,Kopyra & Widawa Pirania,144 cal per 355ml,3.60,3.50,3.46,11°,English pint
6288,82,53.0,Chrząstawa Mała,Lower Silesian,Poland,IPA - Black / Brown / Cascadian Dark,6.2%,Browar Widawa,Kopyra & Widawa Czorny Miś,186 cal per 355ml,3.50,3.52,3.47,"16 Plato. Style: Silesian Black Ale. Unfiltered, unpasteurized. Brewed with two polish hop varieties Sybilla and Junga. Recipe: Tomasz Kopyra.",Shaker
6289,82,91.0,Chrząstawa Mała,Lower Silesian,Poland,Smoked - Rauchbier,4.7%,Browar Widawa,Kopyra & Widawa Kuna,141 cal per 355ml,3.61,3.60,3.49,"
 Kuna - Peated American Pale Ale - 11.6 Blg 
",Dimpled mug
6290,81,45.0,Chrząstawa Mała,Lower Silesian,Poland,Stout - Flavored / Pastry,7.2%,Browar Widawa,Widawa Piwo Świąteczne 2017,216 cal per 355ml,3.74,3.63,3.48,X-mas Stout 18 Blg…,
6291,81,40.0,Chrząstawa Mała,Lower Silesian,Poland,Porter - Imperial,7.0%,Browar Widawa,Widawa Miss Eva,210 cal per 355ml,3.56,3.52,3.47,Bavarian Whiskey Barrel Aged Imperial Brown Porter ● 18° ● 7%…,Shaker
6292,81,33.0,Chrząstawa Mała,Lower Silesian,Poland,IPA - Hazy / New England (NEIPA),6.2%,Browar Widawa,Widawa Chill Kanapa 2.0,186 cal per 355ml,3.52,3.54,3.45,"16' Blg, Vermont IPA",Shaker
6293,80,45.0,Chrząstawa Mała,Lower Silesian,Poland,Stout - Extra / Foreign / Tropical,6.0%,Browar Widawa,Widawa Black Kiss,180 cal per 355ml,3.66,3.48,3.39,Tennessee Whiskey Barrel Aged Estra Stout,English pint
6294,79,47.0,Chrząstawa Mała,Lower Silesian,Poland,Smoked - Other,4.5%,Browar Widawa,Kopyra & Widawa Rhino,135 cal per 355ml,3.42,3.49,3.44,"Alk. 4.5 % vol. ext. 11.6P. Pale, top fermented, Smoked American Pale Ale, non-pasteurized, non-filtered. Contains: water, smoked malt, Pale Ale malt, wheat malt, hops: (The blend of American Types), yeast US-05. Originally composed by Tomasz Kopyra.",
6295,79,23.0,Chrząstawa Mała,Lower Silesian,Poland,Stout - Imperial,9.5%,Browar Widawa,Widawa Imperial Black Kiss,285 cal per 355ml,3.68,3.68,3.47,Ekstr. 24%,Snifter
6296,79,49.0,Chrząstawa Mała,Lower Silesian,Poland,IPA - Black / Brown / Cascadian Dark,6.2%,Browar Widawa,Kopyra & Widawa Orka,186 cal per 355ml,3.66,3.50,3.46,"Killer Whale - Orka, Cascadian Dark Ale. Single hop: Amarillo. Receptura: Tomasz Kopyra. Piwo ciemne, górnej fermentacji w stylu Cascadian Dark Ale, niepasteryzowane, niefiltrowane. Szanuj orke, pij w temp. 10-14 C. Skład: woda; słody: Pale Ale, monachijski, pszeniczny, pszeniczny czekoladowy, Caramunich; chmiel: Amarillo, drożdże Safale S-04. Alk. 6.2 % vol., ekstrakt: 16.0P.",Shaker
6297,78,39.0,Chrząstawa Mała,Lower Silesian,Poland,Sour / Wild Beer,6.2%,Browar Widawa,Widawa Asgard,186 cal per 355ml,3.54,3.54,3.43,Black Barrel Aged Brett IPA with Blackberry - 16 Blg,Snifter
6298,78,52.0,Chrząstawa Mała,Lower Silesian,Poland,IPA,6.2%,Browar Widawa,Widawa Indian Summer,186 cal per 355ml,3.65,3.48,3.36,Brown IPA - 16 Blg,Shaker
6299,77,41.0,Chrząstawa Mała,Lower Silesian,Poland,IPA - Black / Brown / Cascadian Dark,4.8%,Browar Widawa,Widawa Summer Black Ale,144 cal per 355ml,3.36,3.47,3.39,"A dark, top fermented beer. Non-filtered, non-pasteurized. Ingredients: water, barley malt, hops, yeast. Alc. 4.8%, ext. 12.5P.",Shaker
6300,77,22.0,Chrząstawa Mała,Lower Silesian,Poland,Stout - Imperial,8.2%,Browar Widawa,Widawa Imperial Wild Black Kiss Bourbon BA,246 cal per 355ml,3.48,3.46,3.42,,Snifter
6301,76,72.0,Chrząstawa Mała,Lower Silesian,Poland,Smoked - Rauchbier,5.0%,Browar Widawa,Kopyra & Widawa Wściekły Borsuk,150 cal per 355ml,3.65,3.49,3.41,Smoked & Peated Porter - 12.5 Blg…,Dimpled mug
6302,76,51.0,Chrząstawa Mała,Lower Silesian,Poland,IPA,6.2%,Browar Widawa,Kopyra & Widawa Szerszeń,186 cal per 355ml,3.58,3.52,3.37,,Shaker
6303,75,98.0,Chrząstawa Mała,Lower Silesian,Poland,Wheat Ale,4.9%,Browar Widawa,Widawa Lato Czeka z Mango i Marakują,147 cal per 355ml,3.49,3.49,3.44,"American Wheat with mango and passionfruit, 11.8°Blg…",Shaker
6304,75,64.0,Chrząstawa Mała,Lower Silesian,Poland,IPA,6.2%,Browar Widawa,Kopyra & Widawa Miś,186 cal per 355ml,3.43,3.58,3.42,"A pale top fermented beer. Style: Polish India Pale Ale. Non-filtered, non-pasteurized. Brewed with two Polish hop varieties Sybilla (PL) and Junga (PL). Recipe: Tomasz Kopyra. Ingredients: Pale Ale malt, Caramel malt, Wheat malt. Hops: Sybilla (PL), Junga (PL). Yeast: Safale – S-04.",Shaker
6305,74,20.0,Chrząstawa Mała,Lower Silesian,Poland,Stout - Imperial,8.9%,Browar Widawa,Widawa Grand Prix Russian Imperial Stout,267 cal per 355ml,3.49,3.46,3.40,Grand Prix RIS - 22 Blg…,Snifter
6306,73,94.0,Chrząstawa Mała,Lower Silesian,Poland,Red Ale / International Amber Ale,5.0%,Browar Widawa,Kopyra & Widawa Kangaroo,150 cal per 355ml,3.44,3.46,3.38,"12,5°P. Single hop Galaxy Australian amber ale.",English pint
6307,73,65.0,Chrząstawa Mała,Lower Silesian,Poland,IPA,6.2%,Browar Widawa,Widawa Fruit Bomb! IPA,186 cal per 355ml,3.54,3.46,3.43,16 Blg,Shaker
6308,73,72.0,Chrząstawa Mała,Lower Silesian,Poland,Pale Ale - American (APA),4.9%,Browar Widawa,Kopyra & Widawa Kawka Coffee Ale,147 cal per 355ml,3.47,3.45,3.36,"Recipe by Tomasz Kopyra
Ingredients: water, malts (pale ale, wheat, Carahell), hops (Galaxy, Amarillo), coffee, yeasts (Safale S-04)",Lager glass
6309,72,16.0,Chrząstawa Mała,Lower Silesian,Poland,Stout - Imperial,11.5%,Browar Widawa,Widawa Dead Romanovs Bourbon BA,345 cal per 355ml,3.47,3.51,3.36,Leżakowany 6 miesięcy w beczce po bourbonie.…,Snifter
6310,71,77.0,Chrząstawa Mała,Lower Silesian,Poland,Smoked - Rauchbier,5.0%,Browar Widawa,Widawa Grand Prix Rauchweizen Garażowy,150 cal per 355ml,3.61,3.55,3.39,"12.5 Blg  
Grand Prix 2. Gwiazdkowego Konkursu Piw Domowych wg receptury Janusza Švacha",Dimpled mug
6311,70,76.0,Chrząstawa Mała,Lower Silesian,Poland,Smoked - Rauchbier,5.2%,Browar Widawa,Widawa Grand Prix Rauchbier,156 cal per 355ml,3.48,3.50,3.38,Rauchbier - Ekstrakt: 13%…,Dimpled mug
6312,70,46.0,Chrząstawa Mała,Lower Silesian,Poland,IPA,6.2%,Browar Widawa,Kopyra & Widawa Miś 500+,186 cal per 355ml,3.34,3.42,3.33,West Coast PIPA - 16 Blg…,Shaker
6313,69,57.0,Chrząstawa Mała,Lower Silesian,Poland,Pale Lager - Hoppy / India (IPL),4.7%,Browar Widawa,Widawa Pils or Not?,141 cal per 355ml,3.50,3.53,3.36,11.6 BLG. New England Lager.,Dimpled mug
